Toronto Municipality,Effective Date,Attribute,Value
City of Toronto,2015-01-01,HPI - Single-Family Detached,787300
City of Toronto,2015-01-01,HPI - Single-Family Attached,625000
City of Toronto,2015-01-01,HPI - Townhouse,413100
City of Toronto,2015-01-01,HPI - Apartment,330200
Toronto W01,2015-01-01,HPI - Single-Family Detached,849400
Toronto W01,2015-01-01,HPI - Single-Family Attached,677500
Toronto W01,2015-01-01,HPI - Townhouse,415100
Toronto W01,2015-01-01,HPI - Apartment,326300
Toronto W02,2015-01-01,HPI - Single-Family Detached,805300
Toronto W02,2015-01-01,HPI - Single-Family Attached,661100
Toronto W02,2015-01-01,HPI - Townhouse,410300
Toronto W02,2015-01-01,HPI - Apartment,563000
Toronto W03,2015-01-01,HPI - Single-Family Detached,509900
Toronto W03,2015-01-01,HPI - Single-Family Attached,493700
Toronto W03,2015-01-01,HPI - Townhouse,
Toronto W03,2015-01-01,HPI - Apartment,257400
Toronto W04,2015-01-01,HPI - Single-Family Detached,538000
Toronto W04,2015-01-01,HPI - Single-Family Attached,501900
Toronto W04,2015-01-01,HPI - Townhouse,337000
Toronto W04,2015-01-01,HPI - Apartment,206400
Toronto W05,2015-01-01,HPI - Single-Family Detached,542400
Toronto W05,2015-01-01,HPI - Single-Family Attached,441700
Toronto W05,2015-01-01,HPI - Townhouse,242300
Toronto W05,2015-01-01,HPI - Apartment,154800
Toronto W06,2015-01-01,HPI - Single-Family Detached,594800
Toronto W06,2015-01-01,HPI - Single-Family Attached,485400
Toronto W06,2015-01-01,HPI - Townhouse,475800
Toronto W06,2015-01-01,HPI - Apartment,334400
Toronto W07,2015-01-01,HPI - Single-Family Detached,762000
Toronto W07,2015-01-01,HPI - Single-Family Attached,688900
Toronto W07,2015-01-01,HPI - Townhouse,502500
Toronto W07,2015-01-01,HPI - Apartment,438300
Toronto W08,2015-01-01,HPI - Single-Family Detached,860400
Toronto W08,2015-01-01,HPI - Single-Family Attached,645300
Toronto W08,2015-01-01,HPI - Townhouse,359300
Toronto W08,2015-01-01,HPI - Apartment,273400
Toronto W09,2015-01-01,HPI - Single-Family Detached,651300
Toronto W09,2015-01-01,HPI - Single-Family Attached,464500
Toronto W09,2015-01-01,HPI - Townhouse,405800
Toronto W09,2015-01-01,HPI - Apartment,184100
Toronto W10,2015-01-01,HPI - Single-Family Detached,490800
Toronto W10,2015-01-01,HPI - Single-Family Attached,436200
Toronto W10,2015-01-01,HPI - Townhouse,258200
Toronto W10,2015-01-01,HPI - Apartment,200800
Toronto C01,2015-01-01,HPI - Single-Family Detached,708800
Toronto C01,2015-01-01,HPI - Single-Family Attached,739300
Toronto C01,2015-01-01,HPI - Townhouse,543000
Toronto C01,2015-01-01,HPI - Apartment,380000
Toronto C02,2015-01-01,HPI - Single-Family Detached,1395000
Toronto C02,2015-01-01,HPI - Single-Family Attached,1043900
Toronto C02,2015-01-01,HPI - Townhouse,888000
Toronto C02,2015-01-01,HPI - Apartment,512000
Toronto C03,2015-01-01,HPI - Single-Family Detached,1134800
Toronto C03,2015-01-01,HPI - Single-Family Attached,720400
Toronto C03,2015-01-01,HPI - Townhouse,
Toronto C03,2015-01-01,HPI - Apartment,541800
Toronto C04,2015-01-01,HPI - Single-Family Detached,1217000
Toronto C04,2015-01-01,HPI - Single-Family Attached,845700
Toronto C04,2015-01-01,HPI - Townhouse,577600
Toronto C04,2015-01-01,HPI - Apartment,331900
Toronto C06,2015-01-01,HPI - Single-Family Detached,809000
Toronto C06,2015-01-01,HPI - Single-Family Attached,605500
Toronto C06,2015-01-01,HPI - Townhouse,
Toronto C06,2015-01-01,HPI - Apartment,376600
Toronto C07,2015-01-01,HPI - Single-Family Detached,916900
Toronto C07,2015-01-01,HPI - Single-Family Attached,599500
Toronto C07,2015-01-01,HPI - Townhouse,421000
Toronto C07,2015-01-01,HPI - Apartment,348600
Toronto C08,2015-01-01,HPI - Single-Family Detached,487300
Toronto C08,2015-01-01,HPI - Single-Family Attached,790500
Toronto C08,2015-01-01,HPI - Townhouse,543500
Toronto C08,2015-01-01,HPI - Apartment,389500
Toronto C09,2015-01-01,HPI - Single-Family Detached,1521200
Toronto C09,2015-01-01,HPI - Single-Family Attached,1161200
Toronto C09,2015-01-01,HPI - Townhouse,890900
Toronto C09,2015-01-01,HPI - Apartment,430400
