Toronto Municipality,HPI - Single-Family Detached,HPI - Single-Family Attached,HPI - Townhouse,HPI - Apartment,Effective Date
City of Toronto,787300,625000,413100,330200,2015-01-01
Toronto W01,849400,677500,415100,326300,2015-01-01
Toronto W02,805300,661100,410300,563000,2015-01-01
Toronto W03,509900,493700,,257400,2015-01-01
Toronto W04,538000,501900,337000,206400,2015-01-01
Toronto W05,542400,441700,242300,154800,2015-01-01
Toronto W06,594800,485400,475800,334400,2015-01-01
Toronto W07,762000,688900,502500,438300,2015-01-01
Toronto W08,860400,645300,359300,273400,2015-01-01
Toronto W09,651300,464500,405800,184100,2015-01-01
Toronto W10,490800,436200,258200,200800,2015-01-01
Toronto C01,708800,739300,543000,380000,2015-01-01
Toronto C02,1395000,1043900,888000,512000,2015-01-01
Toronto C03,1134800,720400,,541800,2015-01-01
Toronto C04,1217000,845700,577600,331900,2015-01-01
Toronto C06,809000,605500,,376600,2015-01-01
Toronto C07,916900,599500,421000,348600,2015-01-01
Toronto C08,487300,790500,543500,389500,2015-01-01
Toronto C09,1521200,1161200,890900,430400,2015-01-01
Toronto C10,1094200,887500,524200,464300,2015-01-01
Toronto C11,1122500,850900,178500,249100,2015-01-01
Toronto C12,1659400,767500,598900,567100,2015-01-01
Toronto C13,956400,538400,473600,293600,2015-01-01
Toronto C14,1167000,952300,710600,394800,2015-01-01
Toronto C15,966100,618200,457300,332300,2015-01-01
Toronto E01,702900,694400,407900,442400,2015-01-01
Toronto E02,777800,675000,626400,512700,2015-01-01
Toronto E03,610100,591000,,210000,2015-01-01
Toronto E04,538900,415600,370000,278400,2015-01-01
Toronto E05,682200,520500,373900,284900,2015-01-01
Toronto E06,525600,450400,,387200,2015-01-01
Toronto E07,675500,517800,393000,274600,2015-01-01
Toronto E08,557200,416900,342500,231800,2015-01-01
Toronto E09,516500,401300,307900,277000,2015-01-01
Toronto E10,586400,464800,338200,222900,2015-01-01
Toronto E11,505400,400600,272000,203900,2015-01-01
City of Toronto,794300,629600,415000,329800,2015-02-01
Toronto W01,871600,682600,419900,310900,2015-02-01
Toronto W02,819300,681000,412200,549200,2015-02-01
Toronto W03,515100,497000,,249800,2015-02-01
Toronto W04,541800,495500,346000,207600,2015-02-01
Toronto W05,555700,451700,239200,156200,2015-02-01
Toronto W06,586900,469300,454600,311200,2015-02-01
Toronto W07,745500,660600,471600,455000,2015-02-01
Toronto W08,841100,618400,340000,279200,2015-02-01
Toronto W09,636800,459200,408400,186600,2015-02-01
Toronto W10,500500,437300,259400,206600,2015-02-01
Toronto C01,706400,734400,544800,380800,2015-02-01
Toronto C02,1391800,1036000,863700,509200,2015-02-01
Toronto C03,1148100,738900,,544700,2015-02-01
Toronto C04,1239400,851400,606700,336600,2015-02-01
Toronto C06,809000,610800,,386700,2015-02-01
Toronto C07,917400,596600,430400,347200,2015-02-01
Toronto C08,493600,788900,541900,383600,2015-02-01
Toronto C09,1497300,1115600,857900,441700,2015-02-01
Toronto C10,1105200,893500,515500,451200,2015-02-01
Toronto C11,1114500,828300,186300,266900,2015-02-01
Toronto C12,1690500,774800,625600,560800,2015-02-01
Toronto C13,972500,544800,489200,295400,2015-02-01
Toronto C14,1163200,945900,718400,395300,2015-02-01
Toronto C15,979700,621800,462200,332300,2015-02-01
Toronto E01,708900,712000,415600,429800,2015-02-01
Toronto E02,757900,660600,633100,517900,2015-02-01
Toronto E03,625500,593000,,213500,2015-02-01
Toronto E04,550100,421500,377800,272400,2015-02-01
Toronto E05,696300,527900,379100,285700,2015-02-01
Toronto E06,527300,441100,,391000,2015-02-01
Toronto E07,691600,530900,411400,277200,2015-02-01
Toronto E08,561000,410200,346000,240600,2015-02-01
Toronto E09,527100,412000,305000,283800,2015-02-01
Toronto E10,599200,479100,333500,233400,2015-02-01
Toronto E11,525700,416000,277700,196700,2015-02-01
City of Toronto,808100,636300,421300,332900,2015-03-01
Toronto W01,894800,708400,413900,320000,2015-03-01
Toronto W02,825000,686500,416100,544400,2015-03-01
Toronto W03,531400,511900,,251900,2015-03-01
Toronto W04,557900,504300,342100,212200,2015-03-01
Toronto W05,566400,459600,244100,161500,2015-03-01
Toronto W06,610000,488400,478200,297200,2015-03-01
Toronto W07,769700,682700,499200,446900,2015-03-01
Toronto W08,862500,641500,355700,276000,2015-03-01
Toronto W09,654700,463100,407400,187600,2015-03-01
Toronto W10,513200,451100,254700,204600,2015-03-01
Toronto C01,682300,705900,555200,385800,2015-03-01
Toronto C02,1422800,1061800,860500,522100,2015-03-01
Toronto C03,1181200,761900,,535500,2015-03-01
Toronto C04,1281400,877700,604800,343800,2015-03-01
Toronto C06,820100,620500,,385200,2015-03-01
Toronto C07,929800,599500,430600,358800,2015-03-01
Toronto C08,491400,797200,543800,387800,2015-03-01
Toronto C09,1474700,1102600,888300,453600,2015-03-01
Toronto C10,1160400,917700,512100,462700,2015-03-01
Toronto C11,1093700,811900,185300,253600,2015-03-01
Toronto C12,1698000,780400,607700,552900,2015-03-01
Toronto C13,979500,541900,472100,291000,2015-03-01
Toronto C14,1179500,934700,735900,416200,2015-03-01
Toronto C15,997000,630900,472100,322300,2015-03-01
Toronto E01,714300,717700,416000,443100,2015-03-01
Toronto E02,770300,671300,651100,527000,2015-03-01
Toronto E03,612800,588100,,220000,2015-03-01
Toronto E04,559200,436300,381000,266600,2015-03-01
Toronto E05,701900,541700,385200,289000,2015-03-01
Toronto E06,531000,441800,,401300,2015-03-01
Toronto E07,699700,540800,427700,278600,2015-03-01
Toronto E08,584100,398600,355400,235000,2015-03-01
Toronto E09,539300,424100,311400,284700,2015-03-01
Toronto E10,606000,475200,338200,224000,2015-03-01
Toronto E11,538800,423700,279400,207600,2015-03-01
City of Toronto,823300,645600,424400,337200,2015-04-01
Toronto W01,905100,727700,420100,331400,2015-04-01
Toronto W02,846400,705200,413300,554500,2015-04-01
Toronto W03,535800,511600,,259900,2015-04-01
Toronto W04,560400,512700,347900,217000,2015-04-01
Toronto W05,577100,470100,248000,166000,2015-04-01
Toronto W06,628400,505100,477000,301500,2015-04-01
Toronto W07,796500,706900,494800,452100,2015-04-01
Toronto W08,890800,657100,357400,282400,2015-04-01
Toronto W09,672700,471800,412500,186200,2015-04-01
Toronto W10,519600,465100,250100,205200,2015-04-01
Toronto C01,670700,698600,558500,390200,2015-04-01
Toronto C02,1456100,1094500,845000,539600,2015-04-01
Toronto C03,1197500,775200,,524900,2015-04-01
Toronto C04,1304400,878200,600700,354000,2015-04-01
Toronto C06,834200,645100,,391200,2015-04-01
Toronto C07,951700,609100,436200,365300,2015-04-01
Toronto C08,477400,786800,529800,388200,2015-04-01
Toronto C09,1535000,1131100,848100,453600,2015-04-01
Toronto C10,1191100,945800,514100,469600,2015-04-01
Toronto C11,1144600,834900,181700,254500,2015-04-01
Toronto C12,1712000,789800,603300,558300,2015-04-01
Toronto C13,993400,558000,469600,299700,2015-04-01
Toronto C14,1194700,946900,759900,411400,2015-04-01
Toronto C15,998400,636500,478700,354500,2015-04-01
Toronto E01,719700,716700,400400,447400,2015-04-01
Toronto E02,789200,686700,640800,528100,2015-04-01
Toronto E03,635900,605700,,219300,2015-04-01
Toronto E04,566600,445500,381900,266000,2015-04-01
Toronto E05,710800,542800,396100,294300,2015-04-01
Toronto E06,543000,439900,,402600,2015-04-01
Toronto E07,721000,556500,416000,281500,2015-04-01
Toronto E08,601300,399700,354800,234500,2015-04-01
Toronto E09,552100,436100,314000,279800,2015-04-01
Toronto E10,613000,476800,331200,223900,2015-04-01
Toronto E11,541800,428400,294200,217200,2015-04-01
City of Toronto,834200,656500,431900,340500,2015-05-01
Toronto W01,922600,740000,415100,331600,2015-05-01
Toronto W02,852100,708800,412200,569100,2015-05-01
Toronto W03,543400,524400,,266600,2015-05-01
Toronto W04,566100,520500,345000,221900,2015-05-01
Toronto W05,588400,476500,250500,174400,2015-05-01
Toronto W06,643000,521200,525900,304200,2015-05-01
Toronto W07,817300,737700,460600,448900,2015-05-01
Toronto W08,899700,677600,357400,282000,2015-05-01
Toronto W09,674900,475400,433200,179700,2015-05-01
Toronto W10,519600,465100,262300,206100,2015-05-01
Toronto C01,674600,716300,559100,397100,2015-05-01
Toronto C02,1471900,1119700,851600,539100,2015-05-01
Toronto C03,1203500,783700,,536600,2015-05-01
Toronto C04,1322600,889200,607500,357100,2015-05-01
Toronto C06,856000,660100,,408200,2015-05-01
Toronto C07,971400,623100,434800,365600,2015-05-01
Toronto C08,480500,778000,515900,392600,2015-05-01
Toronto C09,1506100,1125400,842400,446000,2015-05-01
Toronto C10,1216900,980400,541000,473400,2015-05-01
Toronto C11,1161400,860200,180200,254200,2015-05-01
Toronto C12,1744300,810800,612800,570900,2015-05-01
Toronto C13,1017000,571400,481800,306300,2015-05-01
Toronto C14,1218500,973700,793000,407700,2015-05-01
Toronto C15,1006400,641400,487800,356200,2015-05-01
Toronto E01,725100,714800,384600,464200,2015-05-01
Toronto E02,815200,717800,614500,533800,2015-05-01
Toronto E03,654400,616400,,218100,2015-05-01
Toronto E04,574000,453000,385800,267800,2015-05-01
Toronto E05,728800,556000,413700,299400,2015-05-01
Toronto E06,544500,449900,,404000,2015-05-01
Toronto E07,732500,559300,425100,282200,2015-05-01
Toronto E08,600600,404600,356800,238200,2015-05-01
Toronto E09,557000,446200,324000,284700,2015-05-01
Toronto E10,609500,476800,341000,230000,2015-05-01
Toronto E11,551000,440900,304800,218200,2015-05-01
City of Toronto,838900,661900,435300,341400,2015-06-01
Toronto W01,941100,759000,420700,336100,2015-06-01
Toronto W02,842700,710100,427900,563800,2015-06-01
Toronto W03,549300,533100,,267200,2015-06-01
Toronto W04,567700,522000,368300,224700,2015-06-01
Toronto W05,602400,487900,257900,178400,2015-06-01
Toronto W06,626800,514500,528600,309500,2015-06-01
Toronto W07,790500,720900,495500,450500,2015-06-01
Toronto W08,889200,667700,377200,281400,2015-06-01
Toronto W09,676000,470100,432700,186700,2015-06-01
Toronto W10,519900,463000,251900,210100,2015-06-01
Toronto C01,673900,710400,558800,391900,2015-06-01
Toronto C02,1441000,1101300,863300,536300,2015-06-01
Toronto C03,1211400,800000,,542600,2015-06-01
Toronto C04,1335200,881600,623500,362100,2015-06-01
Toronto C06,871900,685500,,403100,2015-06-01
Toronto C07,999300,644500,435600,368200,2015-06-01
Toronto C08,490500,798500,528000,391100,2015-06-01
Toronto C09,1571500,1172600,856300,435700,2015-06-01
Toronto C10,1243900,1030800,536600,479400,2015-06-01
Toronto C11,1192900,893900,189500,257800,2015-06-01
Toronto C12,1769000,812100,624300,567400,2015-06-01
Toronto C13,1044800,580400,485200,305500,2015-06-01
Toronto C14,1247800,985400,743000,414400,2015-06-01
Toronto C15,1027000,657000,489800,355900,2015-06-01
Toronto E01,729200,724600,393500,474400,2015-06-01
Toronto E02,822700,721100,621600,550300,2015-06-01
Toronto E03,655400,615100,,221200,2015-06-01
Toronto E04,569000,441300,390300,276200,2015-06-01
Toronto E05,730900,554100,419100,297100,2015-06-01
Toronto E06,555300,459200,,410600,2015-06-01
Toronto E07,738000,568500,433500,282700,2015-06-01
Toronto E08,610000,417100,363000,243100,2015-06-01
Toronto E09,555000,439500,328600,289800,2015-06-01
Toronto E10,614000,479600,349100,234800,2015-06-01
Toronto E11,564900,450200,297500,215700,2015-06-01
City of Toronto,843300,663500,442800,341800,2015-07-01
Toronto W01,932400,759000,439000,332100,2015-07-01
Toronto W02,824200,691400,431200,571500,2015-07-01
Toronto W03,554800,544400,,272500,2015-07-01
Toronto W04,575600,535900,370700,226100,2015-07-01
Toronto W05,598700,485900,264000,183500,2015-07-01
Toronto W06,628100,517900,549500,302700,2015-07-01
Toronto W07,791800,729900,495100,435900,2015-07-01
Toronto W08,887100,662400,394500,279000,2015-07-01
Toronto W09,680900,469300,442800,189800,2015-07-01
Toronto W10,526100,471900,260900,201800,2015-07-01
Toronto C01,679500,730300,561200,395600,2015-07-01
Toronto C02,1443400,1098700,872100,527400,2015-07-01
Toronto C03,1225800,808200,,526800,2015-07-01
Toronto C04,1342900,895400,616100,350400,2015-07-01
Toronto C06,868500,665700,,401800,2015-07-01
Toronto C07,992500,630900,455000,360400,2015-07-01
Toronto C08,494800,796800,548000,393500,2015-07-01
Toronto C09,1614200,1219800,845500,455600,2015-07-01
Toronto C10,1212600,1000100,531300,478000,2015-07-01
Toronto C11,1211700,904100,186100,263600,2015-07-01
Toronto C12,1752900,810800,637500,560500,2015-07-01
Toronto C13,1055000,580700,511700,304700,2015-07-01
Toronto C14,1233700,960600,726800,413900,2015-07-01
Toronto C15,1045300,662200,494500,351700,2015-07-01
Toronto E01,735300,719600,416000,464200,2015-07-01
Toronto E02,818700,718500,649500,557700,2015-07-01
Toronto E03,664200,622000,,223900,2015-07-01
Toronto E04,572200,445000,397200,283700,2015-07-01
Toronto E05,734400,565700,423900,291800,2015-07-01
Toronto E06,571300,476300,464200,415600,2015-07-01
Toronto E07,740300,568500,442200,290900,2015-07-01
Toronto E08,626900,432500,370100,243600,2015-07-01
Toronto E09,551500,437600,331700,289200,2015-07-01
Toronto E10,623900,491800,361100,230600,2015-07-01
Toronto E11,572100,454300,299700,218400,2015-07-01
City of Toronto,845000,661500,444000,344100,2015-08-01
Toronto W01,924700,738900,435500,335800,2015-08-01
Toronto W02,804100,681900,432600,581300,2015-08-01
Toronto W03,550200,534900,,273100,2015-08-01
Toronto W04,573100,532500,368500,228100,2015-08-01
Toronto W05,602100,489400,267800,182700,2015-08-01
Toronto W06,635100,516300,553300,309000,2015-08-01
Toronto W07,799100,726200,495500,430600,2015-08-01
Toronto W08,892300,661600,379100,278000,2015-08-01
Toronto W09,683900,476800,430900,184000,2015-08-01
Toronto W10,535800,474600,270800,206300,2015-08-01
Toronto C01,702800,741700,553500,402100,2015-08-01
Toronto C02,1395000,1053400,882000,520900,2015-08-01
Toronto C03,1208400,789600,,540000,2015-08-01
Toronto C04,1330300,889200,605600,355700,2015-08-01
Toronto C06,877900,663000,,406000,2015-08-01
Toronto C07,992900,629100,448000,361300,2015-08-01
Toronto C08,488900,791000,535000,394200,2015-08-01
Toronto C09,1640600,1267000,862500,444000,2015-08-01
Toronto C10,1213800,1006600,535700,473200,2015-08-01
Toronto C11,1242500,934700,194600,257600,2015-08-01
Toronto C12,1745300,802200,660200,556100,2015-08-01
Toronto C13,1045900,573700,514900,301100,2015-08-01
Toronto C14,1243000,968400,756200,428300,2015-08-01
Toronto C15,1052300,663800,491300,351500,2015-08-01
Toronto E01,738300,720800,403800,471600,2015-08-01
Toronto E02,824000,722500,652000,566200,2015-08-01
Toronto E03,662200,611200,,224400,2015-08-01
Toronto E04,575500,457600,399400,278400,2015-08-01
Toronto E05,724200,553800,425000,295900,2015-08-01
Toronto E06,584200,486500,469800,412800,2015-08-01
Toronto E07,746200,565900,437900,289500,2015-08-01
Toronto E08,636900,439000,375000,235200,2015-08-01
Toronto E09,555000,449100,342000,289400,2015-08-01
Toronto E10,627100,487200,376600,221000,2015-08-01
Toronto E11,570700,452900,297300,224500,2015-08-01
City of Toronto,852800,662900,446400,345900,2015-09-01
Toronto W01,920000,741600,453000,333700,2015-09-01
Toronto W02,811100,681900,445000,586900,2015-09-01
Toronto W03,555900,539500,,273700,2015-09-01
Toronto W04,581000,540300,381200,226100,2015-09-01
Toronto W05,614100,498700,273500,184400,2015-09-01
Toronto W06,643700,511200,544200,308000,2015-09-01
Toronto W07,814200,726600,502800,448100,2015-09-01
Toronto W08,907000,654400,379400,287300,2015-09-01
Toronto W09,695100,477100,449500,172100,2015-09-01
Toronto W10,531100,474300,281000,208400,2015-09-01
Toronto C01,687600,733700,552600,405200,2015-09-01
Toronto C02,1407700,1071800,888500,534900,2015-09-01
Toronto C03,1207800,788200,,541300,2015-09-01
Toronto C04,1335900,880600,635900,357800,2015-09-01
Toronto C06,883900,675800,,407100,2015-09-01
Toronto C07,1014000,636300,462900,368900,2015-09-01
Toronto C08,477400,776400,526800,392600,2015-09-01
Toronto C09,1683300,1276000,872800,455600,2015-09-01
Toronto C10,1193000,994700,537100,483000,2015-09-01
Toronto C11,1292800,952400,203200,258500,2015-09-01
Toronto C12,1730300,811300,674100,560800,2015-09-01
Toronto C13,1047500,583000,530500,315600,2015-09-01
Toronto C14,1273900,971800,744400,422500,2015-09-01
Toronto C15,1043000,659900,492000,345400,2015-09-01
Toronto E01,728500,707000,384000,459900,2015-09-01
Toronto E02,826200,717100,640800,570500,2015-09-01
Toronto E03,678600,626200,,229900,2015-09-01
Toronto E04,582300,465900,397500,281200,2015-09-01
Toronto E05,737300,558800,428000,298600,2015-09-01
Toronto E06,586200,489600,473500,418300,2015-09-01
Toronto E07,744600,562500,437400,283400,2015-09-01
Toronto E08,643100,450300,376800,235800,2015-09-01
Toronto E09,563500,455700,345000,293300,2015-09-01
Toronto E10,630600,485900,375300,215500,2015-09-01
Toronto E11,581500,461100,296700,234800,2015-09-01
City of Toronto,855800,667800,447400,346300,2015-10-01
Toronto W01,915900,731200,455500,340500,2015-10-01
Toronto W02,824200,697200,454100,581700,2015-10-01
Toronto W03,566200,547200,,275600,2015-10-01
Toronto W04,587600,539100,387300,224500,2015-10-01
Toronto W05,611700,494600,273500,187500,2015-10-01
Toronto W06,642700,509400,543300,310000,2015-10-01
Toronto W07,807800,717200,479000,446500,2015-10-01
Toronto W08,898600,650200,376500,287900,2015-10-01
Toronto W09,686900,463100,454100,171400,2015-10-01
Toronto W10,524100,469700,275300,215400,2015-10-01
Toronto C01,696100,755700,546600,399400,2015-10-01
Toronto C02,1441800,1099700,897400,519300,2015-10-01
Toronto C03,1231900,804800,,555600,2015-10-01
Toronto C04,1347100,910700,641500,384400,2015-10-01
Toronto C06,892400,675400,,407100,2015-10-01
Toronto C07,1037300,648400,474100,369800,2015-10-01
Toronto C08,470300,786800,516500,392400,2015-10-01
Toronto C09,1663200,1266200,868700,480400,2015-10-01
Toronto C10,1230400,1019400,542800,482100,2015-10-01
Toronto C11,1259300,952800,201900,254600,2015-10-01
Toronto C12,1771100,830100,679500,576500,2015-10-01
Toronto C13,1079100,591300,529400,310000,2015-10-01
Toronto C14,1244000,966900,772400,425800,2015-10-01
Toronto C15,1045800,658300,501600,351500,2015-10-01
Toronto E01,757600,721800,388900,454500,2015-10-01
Toronto E02,828400,721100,631800,577900,2015-10-01
Toronto E03,685700,628500,,235600,2015-10-01
Toronto E04,580800,453700,395900,290500,2015-10-01
