Toronto Police Neighbourhood Categories,MLS Neighbourhood Categories,MLS Municipality Code
Agincourt North (129),Agincourt North,Toronto E07
Agincourt South-Malvern West (128),Agincourt South-Malvern West,Toronto E07
Alderwood (20),Alderwood,Toronto W06
Annex (95),Annex,Toronto C02
Banbury-Don Mills (42),Banbury-Don Mills,Toronto C13
Bathurst Manor (34),Bathurst Manor,Toronto C06
Bay Street Corridor (76),Bay Street Corridor,Toronto C01
Bayview Village (52),Bayview Village,Toronto C15
Bayview Woods-Steeles (49),Bayview Woods-Steeles,Toronto C15
Bedford Park-Nortown (39),Bedford Park-Nortown,Toronto C04
Beechborough-Greenbrook (112),Beechborough-Greenbrook,Toronto W04
Bendale (127),Bendale,Toronto E09
Birchcliffe-Cliffside (122),Birchcliffe-Cliffside,Toronto E06
Black Creek (24),Black Creek,Toronto W05
Blake-Jones (69),Blake-Jones,Toronto E01
Briar Hill-Belgravia (108),Briar Hill-Belgravia,Toronto W04
Bridle Path-Sunnybrook-York Mills (41),Bridle Path-Sunnybrook-York Mills,Toronto C12
Broadview North (57),Broadview North,Toronto E03
Brookhaven-Amesbury (30),Brookhaven-Amesbury,Toronto W04
Cabbagetown-South St.James Town (71),Cabbagetown-South St.James Town,Toronto C08
Caledonia-Fairbank (109),Caledonia-Fairbank,Toronto W03
Casa Loma (96),Casa Loma,Toronto C02
Centennial Scarborough (133),Centennial Scarborough,Toronto E10
Church-Yonge Corridor (75),Church-Yonge Corridor,Toronto C08
Clairlea-Birchmount (120),Clairlea-Birchmount,Toronto E04
Clanton Park (33),Clanton Park,Toronto C06
Cliffcrest (123),Cliffcrest,Toronto E08
Corso Italia-Davenport (92),Corso Italia-Davenport,Toronto W03
Danforth (66),Danforth,Toronto E03
Danforth East York (59),Danforth East York,Toronto E03
Don Valley Village (47),Don Valley Village,Toronto C15
Dorset Park (126),Dorset Park,Toronto E04
Dovercourt-Wallace Emerson-Junction (93),Dovercourt-Wallace Emerson-Junction,Toronto W02
Downsview-Roding-CFB (26),Downsview-Roding-CFB,Toronto W05
Dufferin Grove (83),Dufferin Grove,Toronto C01
East End-Danforth (62),East End-Danforth,Toronto E02
Edenbridge-Humber Valley (9),Edenbridge-Humber Valley,Toronto W08
